001-TIME,002-TempTra-001
1.45920000000003E-003,8.51220702850414E+002
1.45960000000003E-003,8.51596953689142E+002
1.46000000000003E-003,8.51849865855735E+002
1.46040000000003E-003,8.52021485371764E+002
1.46080000000003E-003,8.51707826299254E+002
1.46120000000003E-003,8.51854548029093E+002
1.46160000000003E-003,8.52101007203998E+002
1.46200000000003E-003,8.52323372337337E+002
1.46240000000003E-003,8.52418755183262E+002
1.46280000000003E-003,8.52415712474046E+002
1.46320000000003E-003,8.52487237932258E+002
1.46360000000003E-003,8.52624392525142E+002
1.46400000000003E-003,8.52859605198632E+002
1.46440000000003E-003,8.52816024522401E+002
1.46480000000003E-003,8.53011913889469E+002
1.46520000000003E-003,8.53020701102033E+002
1.46560000000003E-003,8.52847780111495E+002
