001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
1.58346603862240E-009,3.51444134962249E+011,5.16087361948733E+011,0.00000000000000E+000,0.00000000000000E+000,8.67531496910982E+011
1.59537350879836E-009,3.41275680692955E+011,5.15646157361636E+011,0.00000000000000E+000,0.00000000000000E+000,8.56921838054592E+011
1.60728097897433E-009,3.33072542681143E+011,5.14456331685941E+011,0.00000000000000E+000,0.00000000000000E+000,8.47528874367084E+011
1.61918844915030E-009,3.26908663512713E+011,5.12525349781343E+011,0.00000000000000E+000,0.00000000000000E+000,8.39434013294056E+011
1.63109591932627E-009,3.22844542171987E+011,5.09865044570138E+011,0.00000000000000E+000,0.00000000000000E+000,8.32709586742125E+011
1.64300338950223E-009,3.20926717120605E+011,5.06491606471030E+011,0.00000000000000E+000,0.00000000000000E+000,8.27418323591635E+011
1.65491085967820E-009,3.21187342745402E+011,5.02425542728265E+011,0.00000000000000E+000,0.00000000000000E+000,8.23612885473667E+011
1.66681832985417E-009,3.23643863152714E+011,4.97691606535578E+011,0.00000000000000E+000,0.00000000000000E+000,8.21335469688292E+011
1.67872580003014E-009,3.28298786617336E+011,4.92318696086588E+011,0.00000000000000E+000,0.00000000000000E+000,8.20617482703924E+011
1.69063327020610E-009,3.35139563288221E+011,4.86339723911557E+011,0.00000000000000E+000,0.00000000000000E+000,8.21479287199778E+011
1.70254074038207E-009,3.44138568015188E+011,4.79791457083415E+011,0.00000000000000E+000,0.00000000000000E+000,8.23930025098603E+011
1.71444821055804E-009,3.55253189397423E+011,4.72714329092393E+011,0.00000000000000E+000,0.00000000000000E+000,8.27967518489816E+011
1.72635568073400E-009,3.68426025371694E+011,4.65152224397647E+011,0.00000000000000E+000,0.00000000000000E+000,8.33578249769341E+011
1.73826315090997E-009,3.83585184862540E+011,4.57152236864988E+011,0.00000000000000E+000,0.00000000000000E+000,8.40737421727528E+011
1.75017062108594E-009,4.00644694215171E+011,4.48764403491643E+011,0.00000000000000E+000,0.00000000000000E+000,8.49409097706814E+011
1.76207809126191E-009,4.19505006331350E+011,4.40041415001207E+011,0.00000000000000E+000,0.00000000000000E+000,8.59546421332558E+011
1.77398556143787E-009,4.40053609636137E+011,4.31038305064192E+011,0.00000000000000E+000,0.00000000000000E+000,8.71091914700329E+011
1.78589303161384E-009,4.62165733226155E+011,4.21812120061074E+011,0.00000000000000E+000,0.00000000000000E+000,8.83977853287229E+011
1.79780050178981E-009,4.85705143794721E+011,4.12421571455214E+011,0.00000000000000E+000,0.00000000000000E+000,8.98126715249935E+011
1.80970797196578E-009,5.10525029202509E+011,4.02926672981636E+011,0.00000000000000E+000,0.00000000000000E+000,9.13451702184145E+011
1.82161544214174E-009,5.36468962870763E+011,3.93388364983945E+011,0.00000000000000E+000,0.00000000000000E+000,9.29857327854709E+011
1.83352291231771E-009,5.63371942523456E+011,3.83868128344867E+011,0.00000000000000E+000,0.00000000000000E+000,9.47240070868323E+011
1.84543038249368E-009,5.91061496200844E+011,3.74427590555287E+011,0.00000000000000E+000,0.00000000000000E+000,9.65489086756131E+011
1.85733785266964E-009,6.19358847914823E+011,3.65128126551430E+011,0.00000000000000E+000,0.00000000000000E+000,9.84486974466253E+011
1.86924532284561E-009,6.48080134820943E+011,3.56030457019175E+011,0.00000000000000E+000,0.00000000000000E+000,1.00411059184012E+012
1.88115279302158E-009,6.77037667347091E+011,3.47194246917494E+011,0.00000000000000E+000,0.00000000000000E+000,1.02423191426458E+012
