001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
8.50000000000001E-007,1.99790000000000E+004,7.84299656342351E+003,7.86051875300019E+003,1.59927413387843E+000,7.81893371197304E+003,7.83995033168132E+003
8.60000000000001E-007,1.99790000000000E+004,7.85209671167635E+003,7.84654608025265E+003,1.59861543816796E+000,7.81885576974046E+003,7.84067686009333E+003
8.70000000000001E-007,1.99790000000000E+004,7.84353713228221E+003,7.86086374752002E+003,1.59929037032956E+000,7.81768329473124E+003,7.83990077369590E+003
8.80000000000001E-007,1.99790000000000E+004,7.86624843504472E+003,7.84585605172230E+003,1.59858285326952E+000,7.79762953093067E+003,7.84051007177472E+003
8.90000000000001E-007,1.99790000000000E+004,7.82387386022272E+003,7.84620106622324E+003,1.59859914638713E+000,7.86113647395254E+003,7.84057702364698E+003
9.00000000000001E-007,1.99790000000000E+004,7.86199587566999E+003,7.83567791155074E+003,1.59810160413252E+000,7.81488657224381E+003,7.84134184581336E+003
9.10000000000001E-007,1.99790000000000E+004,7.86951533651563E+003,7.84223337098286E+003,1.59841169478512E+000,7.79655975544554E+003,7.84079342832456E+003
9.20000000000001E-007,1.99790000000000E+004,7.83918820298446E+003,7.85948376662743E+003,1.59922541654502E+000,7.82507968541517E+003,7.83983072476766E+003
9.30000000000001E-007,1.99790000000000E+004,7.82346177317990E+003,7.86845350846860E+003,1.59964723612575E+000,7.83985061240127E+003,7.83933361900711E+003
9.40000000000001E-007,1.99790000000000E+004,7.81691753637354E+003,7.87224830406961E+003,1.59982542822705E+000,7.84625776683868E+003,7.83922116116704E+003
9.50000000000001E-007,1.99790000000000E+004,7.82471719470715E+003,7.88242497734165E+003,1.60030251655009E+000,7.82479082355224E+003,7.83873127470314E+003
9.60000000000001E-007,1.99790000000000E+004,7.84451629705861E+003,7.85982876255394E+003,1.59924165698632E+000,7.81719818322028E+003,7.83994790927220E+003
9.70000000000001E-007,1.99790000000000E+004,7.84117524471609E+003,7.88759940172245E+003,1.60054466320011E+000,7.79452463567370E+003,7.83829710627236E+003
9.80000000000001E-007,1.99790000000000E+004,7.80126924713487E+003,7.89173886605981E+003,1.60073816713839E+000,7.85056219588757E+003,7.83814452734168E+003
9.90000000000000E-007,1.99790000000000E+004,7.82260742409214E+003,7.88276994221877E+003,1.60031866889019E+000,7.82706984224992E+003,7.83854666013795E+003
1.00000000000000E-006,1.99790000000000E+004,7.81499072473464E+003,7.89070400623271E+003,1.60068980891802E+000,7.83098532331274E+003,7.83819779546275E+003
