001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
1.598E-05,2645,17333,17333,6538.51815966423,2.20150728013023E-18
1.608E-05,2633,17345,17345,6551.68132347151,2.75596441230711E-18
1.618E-05,2628,17350,17350,6528.61962542205,3.04753626892823E-18
1.628E-05,2620,17358,17358,6544.43709398829,1.8084516432655E-18
1.638E-05,2614,17364,17364,6529.27775082454,2.94750276929855E-18
1.64800000000001E-05,2607,17371,17371,6533.76695095942,2.18069624159808E-18
1.65800000000001E-05,2601,17377,17377,6531.79355331609,1.41685405245693E-18
1.66800000000001E-05,2595,17383,17383,6517.80282869241,2.15844602888766E-18
1.67800000000001E-05,2592,17386,17386,6507.1488400561,1.63162985937104E-18
1.68800000000001E-05,2589,17389,17389,6513.34487607457,2.03924700200993E-18
1.69800000000001E-05,2583,17395,17395,6517.1898270358,2.31014872003363E-18
1.70800000000002E-05,2576,17402,17402,6507.35367609513,3.84527703550381E-18
1.71800000000002E-05,2567,17411,17411,6509.76299774828,1.73178718894948E-18
1.72800000000002E-05,2561,17417,17417,6502.18799560434,4.02051716514672E-18
1.73800000000002E-05,2555,17423,17423,6493.51047029512,2.04669474022305E-18
1.74800000000002E-05,2550,17428,17428,6479.21514304437,2.75888721230547E-18
1.75800000000002E-05,2541,17437,17437,6481.73439844412,2.61796738292312E-18
1.76800000000002E-05,2534,17444,17444,6494.26223377723,1.96504648874524E-18
1.77800000000003E-05,2523,17455,17455,6490.22757456267,2.34651152549507E-18
1.78800000000003E-05,2509,17469,17469,6465.00926406531,4.83127680485532E-18
1.79800000000003E-05,2506,17472,17472,6461.64209200938,3.12265871136833E-18
1.80800000000003E-05,2494,17484,17484,6448.30098799788,2.03125010926244E-18
1.81800000000003E-05,2486,17492,17492,6455.12770713142,3.31710457002815E-18
1.82800000000004E-05,2478,17500,17500,6451.16571557754,3.0881755130075E-18
1.83800000000004E-05,2470,17508,17508,6451.41924912539,1.82628488672083E-18
1.84800000000004E-05,2463,17515,17515,6446.70944619254,7.60623726787713E-18
1.85800000000004E-05,2458,17520,17520,6452.00754460747,1.70509835451011E-18
1.86800000000004E-05,2451,17527,17527,6451.56958425838,2.83886058896952E-18
1.87800000000004E-05,2439,17539,17539,6425.89958089925,2.01394820324769E-18
1.88800000000004E-05,2433,17545,17545,6419.33923496188,3.49648017340446E-18
1.89800000000005E-05,2429,17549,17549,6438.63531133094,2.36602713309954E-18
1.90800000000005E-05,2421,17557,17557,6412.08036495518,1.57962525627555E-18
1.91800000000005E-05,2414,17564,17564,6410.18349557138,2.23795164809349E-18
1.92800000000005E-05,2409,17569,17569,6396.8640973849,1.29586228814031E-18
1.93800000000005E-05,2402,17576,17576,6402.15182855743,1.61505335353856E-18
1.94800000000005E-05,2396,17582,17582,6403.47502065207,1.54504406382531E-18
1.95800000000006E-05,2388,17590,17590,6396.55419807413,1.70297762185117E-18
1.96800000000006E-05,2382,17596,17596,6388.17875618902,2.26088957627495E-18
